candidate_id,rank,score,penalty,risk_flags,top10_eligible,audit_note
CAND_0010149,1,0.851898,0.0,,True,no material risk flags
CAND_0027691,2,0.848004,0.0,,True,no material risk flags
CAND_0077337,3,0.843405,0.0,,True,no material risk flags
CAND_0052328,4,0.842460,0.0,,True,no material risk flags
CAND_0017960,5,0.840379,0.0,,True,no material risk flags
CAND_0079387,6,0.839365,0.0,,True,no material risk flags
CAND_0064326,7,0.832846,0.0,,True,no material risk flags
CAND_0002025,8,0.831620,0.0,,True,no material risk flags
CAND_0010257,9,0.824550,0.0,,True,no material risk flags
CAND_0043860,10,0.820108,0.0,,True,no material risk flags
CAND_0061257,11,0.818415,0.0,,True,no material risk flags
CAND_0092255,12,0.815898,0.0,,True,no material risk flags
CAND_0006567,13,0.814187,0.0,,True,no material risk flags
CAND_0046064,14,0.810681,0.0,,True,no material risk flags
CAND_0008425,15,0.809922,0.0,,True,no material risk flags
CAND_0080766,16,0.807438,0.0,,True,no material risk flags
CAND_0005260,17,0.806197,0.0,,True,no material risk flags
CAND_0005538,18,0.805655,0.0,,True,no material risk flags
CAND_0052682,19,0.805616,0.0,,True,no material risk flags
CAND_0088025,20,0.804819,0.0,,True,no material risk flags
CAND_0068351,21,0.802467,0.0,,True,no material risk flags
CAND_0096142,22,0.799199,0.0,,True,no material risk flags
CAND_0026640,23,0.793147,0.0,,True,no material risk flags
CAND_0088335,24,0.790639,0.0,,True,no material risk flags
CAND_0083307,25,0.789590,0.0,,True,no material risk flags
CAND_0041594,26,0.784141,0.0,,True,no material risk flags
CAND_0012837,27,0.783124,0.0,,True,no material risk flags
CAND_0074225,28,0.782769,0.0,,True,no material risk flags
CAND_0037160,29,0.782093,0.0,,True,no material risk flags
CAND_0065277,30,0.780689,0.0,,True,no material risk flags
CAND_0030031,31,0.777780,0.0,,True,no material risk flags
CAND_0050876,32,0.777118,0.0,,True,no material risk flags
CAND_0025882,33,0.774830,0.0,,True,no material risk flags
CAND_0037980,34,0.771926,0.0,,True,no material risk flags
CAND_0018722,35,0.765888,0.0,,True,no material risk flags
CAND_0030953,36,0.765421,0.0,,True,no material risk flags
CAND_0039754,37,0.764443,0.0,,True,no material risk flags
CAND_0032179,38,0.764053,0.0,,True,no material risk flags
CAND_0037944,39,0.761813,0.0,,True,no material risk flags
CAND_0055905,40,0.761287,0.0,,True,no material risk flags
CAND_0032955,41,0.757881,0.0,,True,no material risk flags
CAND_0095868,42,0.757817,0.0,,True,no material risk flags
CAND_0012957,43,0.756746,0.0,,True,no material risk flags
CAND_0096172,44,0.755616,0.0,,True,no material risk flags
CAND_0057701,45,0.745211,0.0,,True,no material risk flags
CAND_0087529,46,0.744397,0.0,,True,no material risk flags
CAND_0024620,47,0.743032,0.0,,True,no material risk flags
CAND_0069905,48,0.740991,0.0,,True,no material risk flags
CAND_0064904,49,0.740916,0.0,,True,no material risk flags
CAND_0099401,50,0.740218,0.0,,True,no material risk flags
CAND_0081846,51,0.739645,0.0,,True,no material risk flags
CAND_0016678,52,0.737390,0.0,,True,no material risk flags
CAND_0011162,53,0.737361,0.0,,True,no material risk flags
CAND_0095528,54,0.736366,0.0,,True,no material risk flags
CAND_0053605,55,0.734937,0.0,,True,no material risk flags
CAND_0081686,56,0.733163,0.0,,True,no material risk flags
CAND_0098454,57,0.730889,0.0,,True,no material risk flags
CAND_0035653,58,0.729581,0.0,,True,no material risk flags
CAND_0032216,59,0.728280,0.0,,True,no material risk flags
CAND_0070398,60,0.728250,0.0,,True,no material risk flags
CAND_0097896,61,0.722509,0.0,,True,no material risk flags
CAND_0076163,62,0.719887,0.0,,True,no material risk flags
CAND_0031842,63,0.719370,0.0,,True,no material risk flags
CAND_0051630,64,0.717634,0.0,,True,no material risk flags
CAND_0005311,65,0.715643,0.0,,True,no material risk flags
CAND_0007412,66,0.715231,0.0,,True,no material risk flags
CAND_0068811,67,0.714296,0.0,,True,no material risk flags
CAND_0012888,68,0.713882,0.0,,True,no material risk flags
CAND_0041610,69,0.711929,0.0,,True,no material risk flags
CAND_0015493,70,0.711465,0.0,,True,no material risk flags
CAND_0056262,71,0.709736,0.0,,True,no material risk flags
CAND_0086022,72,0.709641,0.0,,True,no material risk flags
CAND_0098846,73,0.708840,0.0,,True,no material risk flags
CAND_0046525,74,0.707744,0.0,,True,no material risk flags
CAND_0041669,75,0.705679,0.0,,True,no material risk flags
CAND_0073883,76,0.705579,0.0,,True,no material risk flags
CAND_0073504,77,0.704880,0.0,,True,no material risk flags
CAND_0080344,78,0.698735,0.0,,True,no material risk flags
CAND_0004402,79,0.697737,0.0,,True,no material risk flags
CAND_0052195,80,0.697146,0.0,,True,no material risk flags
CAND_0093193,81,0.692756,0.0,,True,no material risk flags
CAND_0071974,82,0.692276,0.0,,True,no material risk flags
CAND_0095060,83,0.692179,0.0,,True,no material risk flags
CAND_0055139,84,0.692013,0.0,,True,no material risk flags
CAND_0018013,85,0.691647,0.0,,True,no material risk flags
CAND_0082973,86,0.691380,0.0,,True,no material risk flags
CAND_0018549,87,0.691234,0.0,,True,no material risk flags
CAND_0046924,88,0.690516,0.0,,True,no material risk flags
CAND_0050454,89,0.689993,0.0,,True,no material risk flags
CAND_0039383,90,0.689532,0.0,,True,no material risk flags
CAND_0088385,91,0.689173,0.0,,True,no material risk flags
CAND_0073620,92,0.688912,0.0,,True,no material risk flags
CAND_0040178,93,0.688554,0.0,,True,no material risk flags
CAND_0086151,94,0.687005,0.0,,True,no material risk flags
CAND_0047327,95,0.686767,0.0,,True,no material risk flags
CAND_0000031,96,0.686657,0.0,,True,no material risk flags
CAND_0044576,97,0.686436,0.0,,True,no material risk flags
CAND_0054123,98,0.686044,0.1,skill_not_in_evidence,True,risk flags present
CAND_0065786,99,0.685111,0.0,,True,no material risk flags
CAND_0045862,100,0.684524,0.0,,True,no material risk flags
